REGION,CLUSTER TYPE,AGE,GENDER,MARITAL STATUS,EDUCATION LEVEL,SOURCE OF INCOME,TYPE OF EMPLOYER,EMPLOYMENT STATUS,FINANCIAL LITERATE,STRUGGLE WITH EXPENSES,SERVICE USED FOR MANAGING MONEY,TYPE OF HEALTH INSTITUTION HE ATTENDS,AWARE OF INSURANCE SERVICES,DONT NEED INSURANCE,TARGET VARIABLE,ins3_1__1,ins3_1__2,ins3_1__3,ins3_1__4,ins3_1__5,ins3_1__6,ins3_1__7,ins3_1__8,ins3_1__9,ins3_1__10,ins3_1__11,ins3_1__12,ins3_1__13,ins3_1__14,ins3_1__15,ins3_1__16,ins3_1__17,ins3_1__18,SATISFIED WITH INSURANCE
Dar es Salaam,Urban,24,Female,Married/living together,Secondary competed-O level, , , ,FALSE,sometimes,Mobile Money Agents,Public health care facility,Yes,No,No, , , , , , , , , , , , , , , , , , , 
Dar es Salaam,Urban,74,Female,Divorced/separated,No formal education,Piece work/Casual labor/Occasional jobs, , ,FALSE,never,Mobile Money Agents,Public health care facility,Yes,Yes,No, , , , , , , , , , , , , , , , , , , 
Dar es Salaam,Urban,33,Female,Married/living together,Some University or other higher education,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling, , ,FALSE,always,Mobile Money Agents,Public health care facility,Yes,No,No, , , , , , , , , , , , , , , , , , , 
Dar es Salaam,Urban,36,Male,Married/living together,Primary completed,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling, , ,FALSE,often,Mobile Money Agents,Public health care facility,Yes,No,No, , , , , , , , , , , , , , , , , , , 
Dar es Salaam,Urban,22,Female,Married/living together,Some University or other higher education, , , ,TRUE,never,Mobile Money Agents,Public health care facility,Yes,No,No, , , , , , , , , , , , , , , , , , , 
Kigoma,Urban,37,Female,Divorced/separated,Primary completed,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling, , ,FALSE,always,Mobile Money Agents,Accredited drug dispensing outlets - Duka la Dawa Baridi (DLDB/ADDO),No,No,No, , , , , , , , , , , , , , , , , , , 
Singida,Urban,72,Female,Married/living together,Primary completed,Rely on someone else/others to give/send me money, , ,FALSE,always,Mobile Money Agents,Public health care facility,Yes,No,No, , , , , , , , , , , , , , , , , , , 
Katavi,Urban,72,Female,Widowed,No formal education,Rely on someone else/others to give/send me money, , ,FALSE,Don’t know,Mobile Money Agents,Public health care facility,Yes,No,No, , , , , , , , , , , , , , , , , , , 
Mbeya,Urban,64,Female,Widowed,No formal education,Rely on someone else/others to give/send me money, , ,FALSE,always,Mobile Money Agents,Public health care facility,No,No,No, , , , , , , , , , , , , , , , , , , 
Geita,Urban,33,Male,Married/living together,Primary completed,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling, , ,FALSE,often,Mobile Money Agents,Accredited drug dispensing outlets - Duka la Dawa Baridi (DLDB/ADDO),Yes,No,No, , , , , , , , , , , , , , , , , , , 
Geita,Urban,39,Female,Married/living together,Some primary,Piece work/Casual labor/Occasional jobs, , ,FALSE,often,Mobile Money Agents,Public health care facility,No,No,No, , , , , , , , , , , , , , , , , , , 
Pwani,Urban,27,Female,Single/never married,University or higher education completed,Salaries/wages from regular job,Private formal registered business,Full-time throughout the year,TRUE,sometimes,Banks e.g,Private health care facility /consult private doctor,Yes,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes
Geita,Urban,40,Female,Married/living together,Primary completed,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling, , ,FALSE,often,Mobile Money Agents,Public health care facility,Yes,No,No, , , , , , , , , , , , , , , , , , , 
Ruvuma,Urban,58,Female,Divorced/separated,Primary completed,Piece work/Casual labor/Occasional jobs, , ,FALSE,often, ,Public health care facility,No,No,No, , , , , , , , , , , , , , , , , , , 
Geita,Urban,25,Male,Single/never married,Secondary competed-O level,Salaries/wages from regular job,Private formal registered business,Full-time throughout the year,TRUE,sometimes,Mobile Money Agents,Public health care facility,Yes,No,No, , , , , , , , , , , , , , , , , , , 
Tanga,Urban,48,Female,Divorced/separated,Primary completed,"Make own Money from providing a service – i.e. such as transport, hairdressing, processing, hospitality services (food", , ,FALSE,often,Mobile Money Agents,Public health care facility,Yes,No,No, , , , , , , , , , , , , , , , , , , 
Mwanza,Urban,45,Female,Widowed,Primary completed,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling, , ,FALSE,always,Savings group Community microfinance groups (CMGs) /Vikundi vya jamii vya kukopeshana,Public health care facility,No,No,No, , , , , , , , , , , , , , , , , , , 
Mbeya,Urban,29,Male,Single/never married,Primary completed,Piece work/Casual labor/Occasional jobs, , ,FALSE,always,Savings group Community microfinance groups (CMGs) /Vikundi vya jamii vya kukopeshana,Public health care facility,No,No,No, , , , , , , , , , , , , , , , , , , 
Ruvuma,Urban,40,Male,Married/living together,Some primary,Piece work/Casual labor/Occasional jobs, , ,FALSE,often,Mobile Money Agents,Pharmacy,No,No,No, , , , , , , , , , , , , , , , , , , 
Mwanza,Urban,20,Female,Single/never married,Primary completed,Salaries/wages from regular job,"Work for individual/household e.g. security guard, maid etc",Full-time throughout the year,FALSE,sometimes,Mobile Money Agents,Public health care facility,No,No,No, , , , , , , , , , , , , , , , , , , 
Tanga,Urban,33,Female,Married/living together,Primary completed,Rely on someone else/others to give/send me money, , ,FALSE,often,Mobile Money Agents,Public health care facility,Yes,No,No, , , , , , , , , , , , , , , , , , , 
Geita,Urban,81,Male,Married/living together,No formal education,Rely on someone else/others to give/send me money, , ,TRUE,always,Mobile Money Agents,Public health care facility,Yes,No,No, , , , , , , , , , , , , , , , , , , 
Mwanza,Urban,41,Male,Married/living together,Primary completed,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling, , ,FALSE,always,Mobile Money Agents,Public health care facility,No,No,No, , , , , , , , , , , , , , , , , , , 
Tanga,Urban,50,Male,Married/living together,Primary completed,Salaries/wages from regular job,Private formal registered business,Full-time throughout the year,FALSE,always,Banks e.g,Public health care facility,No,No,No, , , , , , , , , , , , , , , , , , , 
Morogoro,Urban,22,Female,Single/never married,Secondary competed-O level,"Make own Money from providing a service – i.e. such as transport, hairdressing, processing, hospitality services (food", , ,FALSE,sometimes,Mobile Money Agents,Private health care facility /consult private doctor,Yes,Yes,No, , , , , , , , , , , , , , , , , , , 
Mwanza,Urban,26,Female,Single/never married,Primary completed,Piece work/Casual labor/Occasional jobs, , ,FALSE,always,Mobile Money Agents,Public health care facility,No,No,No, , , , , , , , , , , , , , , , , , , 
Mtwara,Urban,25,Female,Divorced/separated,Secondary competed-O level,"Make own Money from providing a service – i.e. such as transport, hairdressing, processing, hospitality services (food", , ,FALSE,always,Mobile Money Agents,Public health care facility,No,No,No, , , , , , , , , , , , , , , , , , , 
Mara,Urban,29,Female,Married/living together,Secondary competed-O level,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling, , ,FALSE,often,Microfinance institutions e.g,Public health care facility,No,No,No, , , , , , , , , , , , , , , , , , , 
Mwanza,Urban,31,Female,Married/living together,Primary completed,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling, , ,FALSE,often,Mobile Money Agents,Public health care facility,No,No,No, , , , , , , , , , , , , , , , , , , 
Mbeya,Urban,42,Female,Widowed,No formal education,Piece work/Casual labor/Occasional jobs, , ,FALSE,always,Mobile Money Agents,Public health care facility,No,Yes,No, , , , , , , , , , , , , , , , , , , 
Mwanza,Urban,41,Male,Divorced/separated,No formal education,Piece work/Casual labor/Occasional jobs, , ,FALSE,always,Mobile Money Agents,Accredited drug dispensing outlets - Duka la Dawa Baridi (DLDB/ADDO),Yes,No,No, , , , , , , , , , , , , , , , , , , 
Mwanza,Urban,63,Male,Married/living together,Secondary completed-A level,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling, , ,FALSE,often,Mobile Money Agents,Public health care facility,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
Mbeya,Urban,16,Male,Single/never married,Some secondary, , , ,FALSE,sometimes, ,Pharmacy,No,No,No, , , , , , , , , , , , , , , , , , , 
Katavi,Urban,43,Male,Married/living together,Primary completed,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling, , ,FALSE,sometimes,Mobile Money Agents,Accredited drug dispensing outlets - Duka la Dawa Baridi (DLDB/ADDO),No,No,No, , , , , , , , , , , , , , , , , , , 
Mwanza,Urban,22,Female,Single/never married,Secondary competed-O level,"Make own Money from providing a service – i.e. such as transport, hairdressing, processing, hospitality services (food", , ,FALSE,always,Banks e.g,Public health care facility,No,No,No, , , , , , , , , , , , , , , , , , , 
Songwe,Urban,30,Female,Married/living together,Secondary competed-O level, , , ,FALSE,sometimes,Mobile Money Agents,Public health care facility,Yes,No,No, , , , , , , , , , , , , , , , , , , 
Mwanza,Urban,44,Female,Widowed,Some secondary,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling, , ,FALSE,always,Mobile Money Agents,Public health care facility,No,No,No, , , , , , , , , , , , , , , , , , , 
Katavi,Urban,23,Female,Single/never married,Some secondary,Rely on someone else/others to give/send me money, , ,FALSE,sometimes,Mobile Money Agents,Public health care facility,No,No,No, , , , , , , , , , , , , , , , , , , 
Katavi,Urban,41,Female,Married/living together,Some primary,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling, , ,FALSE,sometimes, ,Public health care facility,No,Yes,No, , , , , , , , , , , , , , , , , , , 
Mwanza,Urban,36,Male,Married/living together,Primary completed,Salaries/wages from regular job,Informal unregistered business,Part-time/Seasonally/Occasionally,FALSE,often,Mobile Money Agents,Public health care facility,Yes,No,No, , , , , , , , , , , , , , , , , , , 
Mbeya,Urban,32,Female,Married/living together,University or higher education completed,Salaries/wages from regular job,Informal unregistered business,Full-time throughout the year,TRUE,often,Mobile Money Agents,Public health care facility,Yes,No,No, , , , , , , , , , , , , , , , , , , 
Tanga,Urban,47,Female,Married/living together,Primary completed,Salaries/wages from regular job,Private formal registered business,Full-time throughout the year,FALSE,always,Micro lenders/formal moneylenders e.g,Public health care facility,Yes,No,No, , , , , , , , , , , , , , , , , , , 
Rukwa,Urban,49,Male,Married/living together,Primary completed,Salaries/wages from regular job,Private formal registered business,Full-time throughout the year,FALSE,sometimes,Mobile Money Agents,Accredited drug dispensing outlets - Duka la Dawa Baridi (DLDB/ADDO),No,No,No, , , , , , , , , , , , , , , , , , , 
Mwanza,Urban,73,Male,Married/living together,Primary completed,Rely on someone else/others to give/send me money, , ,FALSE,never,Mobile Money Agents,Public health care facility,Yes,No,No, , , , , , , , , , , , , , , , , , , 
Mwanza,Urban,49,Female,Divorced/separated,Primary completed,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling, , ,FALSE,always,Mobile Money Agents,Public health care facility,No,No,No, , , , , , , , , , , , , , , , , , , 
Pwani,Urban,28,Female,Single/never married,Primary completed,Piece work/Casual labor/Occasional jobs, , ,FALSE,always,Mobile Money Agents,Public health care facility,Yes,No,No, , , , , , , , , , , , , , , , , , , 
Kigoma,Urban,68,Female,Married/living together,Primary completed,Piece work/Casual labor/Occasional jobs, , ,FALSE,never, ,Public health care facility,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No
Mwanza,Urban,55,Male,Married/living together,Primary completed,Rely on someone else/others to give/send me money, , ,FALSE,always,"Social groups e.g. Whatsapp groups, Tupendane, Mshikamano, Umoja",Public health care facility,Yes,No,No, , , , , , , , , , , , , , , , , , , 
Mbeya,Urban,16,Male,Single/never married,Secondary competed-O level,Piece work/Casual labor/Occasional jobs, , ,FALSE,often,Mobile Money Agents,Public health care facility,No,No,No, , , , , , , , , , , , , , , , , , , 
Tanga,Urban,35,Male,Married/living together,Secondary competed-O level,Piece work/Casual labor/Occasional jobs, , ,FALSE,always,Mobile Money Agents,Public health care facility,Yes,No,No, , , , , , , , , , , , , , , , , , , 
Tanga,Urban,55,Female,Married/living together,Secondary competed-O level,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling, , ,TRUE,sometimes,Mobile Money Agents,Public health care facility,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
Mwanza,Urban,38,Female,Married/living together,Primary completed,Rely on someone else/others to give/send me money, , ,FALSE,often,Mobile Money Agents,Public health care facility,No,No,No, , , , , , , , , , , , , , , , , , , 
Mtwara,Urban,21,Female,Single/never married,Primary completed,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling, , ,FALSE,always,Mobile Money Agents,Public health care facility,No,No,No, , , , , , , , , , , , , , , , , , , 
Tanga,Urban,37,Female,Married/living together,Primary completed,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling, , ,FALSE,often,Microfinance institutions e.g,Public health care facility,Yes,No,No, , , , , , , , , , , , , , , , , , , 
Ruvuma,Urban,50,Female,Divorced/separated,Primary completed,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling, , ,FALSE,always,Mobile Money Agents,Public health care facility,No,No,No, , , , , , , , , , , , , , , , , , , 
